Industry,Company
Pertanian,PT Astra Agro Lestari Tbk (AALI.JK)
Pertanian,"PT. Andira Agro, Tbk (ANDI.JK)"
Pertanian,PT Austindo Nusantara Jaya Tbk (ANJT.JK)
Pertanian,PT BISI International Tbk (BISI.JK)
Pertanian,PT Bumi Teknokultura Unggul Tbk (BTEK.JK)
Pertanian,PT Eagle High Plantations Tbk (BWPT.JK)
Pertanian,PT Central Proteina Prima Tbk (CPRO.JK)
Pertanian,PT Dharma Satya Nusantara Tbk (DSNG.JK)
Pertanian,PT Gozco Plantations Tbk (GZCO.JK)
Pertanian,PT Jaya Agra Wattie Tbk (JAWA.JK)
Pertanian,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk (LSIP.JK)
Pertanian,PT Multi Agro Gemilang Plantation Tbk (MAGP.JK)
Pertanian,PT Mahkota Group Tbk (MGRO.JK)
Pertanian,PT Palma Serasih Tbk (PSGO.JK)
Pertanian,PT Sampoerna Agro Tbk (SGRO.JK)
Pertanian,PT Salim Ivomas Pratama Tbk (SIMP.JK)
Pertanian,PT Sawit Sumbermas Sarana Tbk. (SSMS.JK)
Pertanian,PT Tunas Baru Lampung Tbk (TBLA.JK)
Pertanian,PT Bakrie Sumatera Plantations Tbk (UNSP.JK)
